Galaxy,T,Q,N,chi2_ESD_fix,chi2_MOND_fix,delta_fix,rchi2_ESD_fix,rchi2_MOND_fix,Ud_ESD,Ub_ESD,chi2_ESD_grid,Ud_MOND,Ub_MOND,chi2_MOND_grid,delta_grid,rchi2_ESD_grid,rchi2_MOND_grid,WTL
F574-1,7,1,14,50.09,49.24,0.85,3.578,3.517,0.7,0.2,27.69,0.7,0.2,27.94,-0.25,2.130,2.149,T
F574-2,9,3,5,109.38,110.45,-1.07,21.877,22.091,0.2,0.2,67.36,0.2,0.2,68.90,-1.54,16.841,17.225,W
F579-V1,5,1,14,49.15,48.81,0.34,3.510,3.486,0.8,0.2,32.22,0.8,0.2,32.31,-0.09,2.478,2.486,T
F583-1,9,1,25,93.56,91.22,2.34,3.742,3.649,0.9,0.2,47.29,0.9,0.2,47.61,-0.32,1.970,1.984,T
F583-4,5,1,12,15.08,15.73,-0.65,1.256,1.311,0.3,0.2,2.57,0.3,0.2,2.31,0.27,0.234,0.210,T
IC2574,9,2,34,7842.69,8105.94,-263.24,230.667,238.410,0.2,0.2,2099.21,0.2,0.2,2389.58,-290.37,63.612,72.411,W
IC4202,4,1,32,1198.65,1197.05,1.61,37.458,37.408,0.7,0.5,926.91,0.7,0.5,927.63,-0.72,29.900,29.924,T
KK98-251,10,2,15,433.90,441.10,-7.20,28.927,29.407,0.2,0.2,332.70,0.2,0.2,340.16,-7.46,23.765,24.297,W
NGC0024,5,1,29,307.26,303.37,3.89,10.595,10.461,1.2,0.2,18.53,1.2,0.2,18.65,-0.12,0.662,0.666,T
NGC0055,9,2,21,1057.07,1073.67,-16.60,50.336,51.127,0.2,0.2,374.82,0.2,0.2,384.25,-9.43,18.741,19.213,W
NGC0100,6,1,21,38.69,39.24,-0.55,1.842,1.869,0.4,0.2,27.14,0.4,0.2,26.78,0.36,1.357,1.339,T
NGC0247,7,2,26,114.42,113.34,1.08,4.401,4.359,0.5,0.7,114.42,0.5,0.7,113.34,1.08,4.577,4.534,L
NGC0289,4,2,28,314.23,325.22,-10.99,11.222,11.615,0.4,0.2,218.97,0.4,0.2,227.33,-8.37,8.110,8.420,W
NGC0300,7,2,25,62.97,60.15,2.82,2.519,2.406,0.6,0.2,35.46,0.6,0.2,34.32,1.14,1.477,1.430,L
NGC0801,5,1,13,1112.38,1129.41,-17.03,85.567,86.877,0.3,0.2,451.89,0.3,0.2,455.24,-3.34,37.658,37.936,W
NGC0891,3,1,18,609.82,616.42,-6.60,33.879,34.246,0.4,0.5,129.81,0.4,0.5,128.84,0.97,7.636,7.579,T
NGC1003,6,1,36,448.30,470.80,-22.50,12.453,13.078,0.3,0.2,179.47,0.3,0.2,164.79,14.68,5.128,4.708,L
NGC1090,4,1,24,1035.74,1061.50,-25.76,43.156,44.229,0.3,0.2,175.14,0.3,0.2,176.44,-1.30,7.615,7.671,W
NGC1705,11,3,14,206.18,203.63,2.54,14.727,14.545,1.5,0.2,5.82,1.5,0.2,5.52,0.30,0.447,0.425,T
NGC2366,10,3,26,648.30,659.28,-10.98,24.935,25.357,0.2,0.2,307.81,0.2,0.2,316.24,-8.44,12.312,12.650,W
NGC2403,6,1,73,5747.89,5521.55,226.35,78.738,75.638,0.6,0.2,1608.86,0.6,0.2,1523.96,84.90,22.345,21.166,L
NGC2683,3,2,11,23.22,23.51,-0.29,2.111,2.138,0.5,0.8,22.97,0.5,0.8,23.32,-0.35,2.297,2.332,T
NGC2841,3,1,50,4365.61,4313.60,52.01,87.312,86.272,1.1,1.0,93.44,1.1,1.0,92.11,1.33,1.907,1.880,L
NGC2903,4,1,34,434.13,428.54,5.59,12.768,12.604,0.5,0.7,434.13,0.5,0.7,428.54,5.59,13.155,12.986,L
NGC2915,11,2,30,234.87,228.20,6.67,7.829,7.607,1.5,0.2,94.12,1.5,0.2,92.52,1.59,3.245,3.190,L
NGC2955,3,1,24,187.61,190.98,-3.37,7.817,7.958,0.3,0.8,86.08,0.3,0.8,87.11,-1.04,3.742,3.788,W
NGC2976,5,2,27,80.91,82.06,-1.15,2.997,3.039,0.4,0.2,34.59,0.4,0.2,34.97,-0.38,1.331,1.345,T
NGC2998,5,1,13,193.08,201.04,-7.96,14.852,15.464,0.4,0.2,88.91,0.4,0.2,89.42,-0.51,7.409,7.452,T
NGC3109,9,1,25,134.96,134.28,0.68,5.398,5.371,0.5,0.7,134.96,0.4,0.2,132.98,1.98,5.623,5.541,L
NGC3198,5,1,43,544.88,576.59,-31.71,12.672,13.409,0.5,0.7,544.88,0.4,0.2,567.76,-22.88,12.973,13.518,W
NGC3521,4,1,41,30.92,31.28,-0.36,0.754,0.763,0.5,0.7,30.92,0.5,0.7,31.28,-0.36,0.773,0.782,T
NGC3726,5,2,12,296.01,299.74,-3.72,24.668,24.978,0.3,0.2,37.52,0.3,0.2,38.16,-0.64,3.411,3.469,T
NGC3741,10,1,21,35.49,28.40,7.08,1.690,1.353,0.3,0.2,32.71,0.3,0.2,23.92,8.79,1.635,1.196,L
NGC3769,3,2,12,53.96,55.85,-1.89,4.496,4.654,0.3,0.2,8.82,0.3,0.2,9.16,-0.34,0.802,0.832,T
NGC3877,5,2,13,169.26,170.47,-1.21,13.020,13.113,0.4,0.2,90.98,0.4,0.2,91.29,-0.31,7.582,7.608,T
NGC3893,5,1,10,9.10,8.95,0.15,0.910,0.895,0.5,0.7,9.10,0.5,0.7,8.95,0.15,1.011,0.995,T
NGC3917,6,1,17,48.70,48.59,0.11,2.865,2.858,0.5,0.7,48.70,0.5,0.7,48.59,0.11,3.044,3.037,T
NGC3949,4,2,7,15.45,15.82,-0.37,2.207,2.260,0.4,0.2,2.59,0.4,0.2,2.53,0.06,0.432,0.422,T
NGC3953,4,1,8,19.85,19.80,0.05,2.482,2.475,0.5,0.7,19.85,0.5,0.7,19.80,0.05,2.836,2.829,T
NGC3972,4,1,10,19.49,18.99,0.50,1.949,1.899,0.6,0.2,13.67,0.6,0.2,13.79,-0.12,1.518,1.532,T
NGC3992,4,1,9,84.57,83.17,1.40,9.396,9.241,0.6,0.2,29.61,0.6,0.2,29.87,-0.25,3.702,3.734,T
NGC4010,7,2,12,47.00,47.83,-0.82,3.917,3.986,0.4,0.2,23.99,0.4,0.2,24.03,-0.04,2.181,2.184,T
NGC4013,3,2,36,262.94,269.44,-6.49,7.304,7.484,0.3,1.0,56.11,0.3,1.0,55.46,0.65,1.603,1.584,T
NGC4051,4,2,7,79.25,79.96,-0.70,11.322,11.422,0.3,0.2,12.93,0.3,0.2,12.90,0.03,2.155,2.150,T
NGC4068,10,2,6,145.36,146.91,-1.56,24.227,24.486,0.2,0.2,50.03,0.2,0.2,51.03,-1.00,10.006,10.205,T
NGC4085,5,2,7,91.21,91.89,-0.68,13.030,13.127,0.3,0.2,27.34,0.3,0.2,27.17,0.17,4.557,4.528,T
NGC4088,4,1,12,426.93,430.61,-3.68,35.577,35.884,0.2,0.2,19.26,0.2,0.2,19.01,0.25,1.751,1.728,T
NGC4100,4,1,24,82.72,81.43,1.29,3.447,3.393,0.6,0.2,49.33,0.6,0.2,50.62,-1.30,2.145,2.201,W
NGC4138,0,2,7,8.50,8.49,0.00,1.214,1.213,0.7,0.2,6.44,0.7,0.2,6.54,-0.10,1.073,1.090,T
NGC4157,3,1,17,151.88,154.49,-2.61,8.934,9.088,0.3,1.0,16.74,0.3,1.0,16.44,0.29,1.046,1.028,T
NGC4183,6,1,23,82.64,84.83,-2.19,3.593,3.688,0.4,0.2,59.38,0.4,0.2,60.47,-1.10,2.699,2.749,W
NGC4214,10,2,14,80.30,79.37,0.94,5.736,5.669,1.0,0.2,16.74,1.0,0.2,16.59,0.15,1.288,1.276,T
NGC4217,3,1,19,1054.94,1058.33,-3.39,55.523,55.702,1.1,0.2,39.37,1.1,0.2,39.32,0.05,2.187,2.184,T
NGC4389,4,3,6,323.08,324.04,-0.95,53.847,54.006,0.2,0.2,55.62,0.2,0.2,55.97,-0.36,11.123,11.195,T
